index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
851,\src\com\eteks\sweethome3d\j3d\OBJLoader.Face.java,Face,62,2,3,0,1,FALSE,FALSE,1,FALSE,FALSE,1,0,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,0,0,FALSE,Information Holder
852,\src\com\eteks\sweethome3d\j3d\OBJLoader.Geometry.java,Geometry,67,3,4,0,3,FALSE,FALSE,1,FALSE,FALSE,1,0,1,3,TRUE,FALSE,TRUE,TRUE,FALSE,private,4,0,0,TRUE,Information Holder
853,\src\com\eteks\sweethome3d\j3d\OBJLoader.Group.java,Group,52,2,3,0,2,FALSE,FALSE,1,FALSE,FALSE,0,1,2,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,0,0,FALSE,Information Holder
854,\src\com\eteks\sweethome3d\j3d\OBJLoader.java,OBJLoader,1817,11,18,1,2,FALSE,FALSE,4,TRUE,FALSE,79,28,46,129,TRUE,FALSE,FALSE,TRUE,FALSE,public,4,14,0,FALSE,Service Provider
855,\src\com\eteks\sweethome3d\j3d\OBJLoader.Line.java,Line,41,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Information Holder
856,\src\com\eteks\sweethome3d\j3d\OBJMaterial.java,OBJMaterial,112,3,10,3,3,FALSE,FALSE,4,FALSE,FALSE,3,4,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,10,0,0,FALSE,Information Holder
857,\src\com\eteks\sweethome3d\j3d\OBJWriter.ComparableAppearance.java,ComparableAppearance,197,1,3,0,1,FALSE,FALSE,2,FALSE,FALSE,19,1,6,37,TRUE,FALSE,TRUE,TRUE,FALSE,private,3,0,0,FALSE,Service Provider
858,\src\com\eteks\sweethome3d\j3d\OBJWriter.java,OBJWriter,1416,12,27,0,0,FALSE,FALSE,4,TRUE,FALSE,111,113,72,134,TRUE,FALSE,FALSE,TRUE,FALSE,public,9,18,0,FALSE,Service Provider
859,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.BufferedImageDisplay.java,BufferedImageDisplay,99,4,6,0,0,FALSE,FALSE,3,FALSE,FALSE,4,25,5,7,TRUE,FALSE,TRUE,TRUE,FALSE,private,5,1,0,FALSE,Service Provider
860,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.java,PhotoRenderer,1407,13,22,0,4,FALSE,FALSE,2,TRUE,FALSE,102,83,88,177,TRUE,FALSE,FALSE,TRUE,FALSE,public,4,18,0,FALSE,Service Provider
861,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.PhotoObject3DFactory.java,PhotoObject3DFactory,39,0,1,0,0,FALSE,FALSE,4,FALSE,FALSE,1,3,4,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
862,\src\com\eteks\sweethome3d\j3d\PhotoRenderer.Quality.java,Quality,26,2,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
